Connected to /dev/ttyACM0 at 115200 baud.
Timer 1: elapsed = 59l us
Timer 2: elapsed = 395l us
Timer 1: elapsed = 199l us
Timer 1: elapsed = 29l us
Timer 1: elapsed = 157l us
Timer 3: elapsed = 981l us
Timer 1: elapsed = 135l us
Timer 2: elapsed = 596l us
Timer 1: elapsed = 280l us
Timer 1: elapsed = 86l us
Timer 1: elapsed = 51l us
Timer 1: elapsed = 23l us
Timer 2: elapsed = 450l us
Timer 1: elapsed = 182l us
Timer 1: elapsed = 100l us
Timer 1: elapsed = 80l us
Timer 3: elapsed = 1071l us
Timer 1: elapsed = 199l us
Timer 2: elapsed = 497l us
Timer 1: elapsed = 119l us
Timer 1: elapsed = 104l us
Timer 1: elapsed = 133l us
Timer 1: elapsed = 53l us
Timer 2: elapsed = 454l us
Timer 1: elapsed = 283l us
Timer 1: elapsed = 12l us
Timer 1: elapsed = 157l us
Timer 3: elapsed = 950l us
Timer 1: elapsed = 210l us
Timer 2: elapsed = 644l us
Timer 1: elapsed = 170l us
Timer 1: elapsed = 48l us
Timer 1: elapsed = 20l us
Timer 1: elapsed = 169l us
Timer 2: elapsed = 373l us
Timer 1: elapsed = 145l us
Timer 1: elapsed = 147l us
Timer 1: elapsed = 50l us
Timer 3: elapsed = 994l us
Timer 1: elapsed = 224l us
Timer 2: elapsed = 572l us
Timer 1: elapsed = 61l us
Timer 1: elapsed = 157l us
Timer 1: elapsed = 62l us
Timer 1: elapsed = 139l us
Timer 2: elapsed = 435l us
Timer 1: elapsed = 157l us
Timer 1: elapsed = 110l us
Timer 1: elapsed = 121l us
Timer 3: elapsed = 989l us
Timer 1: elapsed = 165l us
Timer 2: elapsed = 601l us
Timer 1: elapsed = 181l us
Timer 1: elapsed = 146l us
Timer 1: elapsed = 56l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 375l us
Timer 1: elapsed = 120l us
Timer 1: elapsed = 106l us
Timer 1: elapsed = 107l us
Timer 3: elapsed = 1037l us
Timer 1: elapsed = 234l us
Timer 2: elapsed = 634l us
Timer 1: elapsed = 179l us
Timer 1: elapsed = 39l us
Timer 1: elapsed = 50l us
Timer 1: elapsed = 102l us
Timer 2: elapsed = 368l us
Timer 1: elapsed = 221l us
Timer 1: elapsed = 92l us
Timer 1: elapsed = 100l us
Timer 3: elapsed = 958l us
Timer 1: elapsed = 241l us
Timer 2: elapsed = 656l us
Timer 1: elapsed = 147l us
Timer 1: elapsed = 31l us
Timer 1: elapsed = 54l us
Timer 1: elapsed = 126l us
Timer 2: elapsed = 385l us
Timer 1: elapsed = 188l us
Timer 1: elapsed = 136l us
Timer 1: elapsed = 71l us
Timer 3: elapsed = 1027l us
Timer 1: elapsed = 213l us
Timer 2: elapsed = 533l us
Timer 1: elapsed = 66l us
Timer 1: elapsed = 125l us
Timer 1: elapsed = 78l us
Timer 1: elapsed = 120l us
Timer 2: elapsed = 426l us
Timer 1: elapsed = 191l us
Timer 1: elapsed = 138l us
Timer 1: elapsed = 63l us
Timer 3: elapsed = 1036l us
Timer 1: elapsed = 202l us
Timer 2: elapsed = 539l us
Timer 1: elapsed = 106l us
Timer 1: elapsed = 126l us
Timer 1: elapsed = 44l us
Timer 1: elapsed = 142l us
Timer 2: elapsed = 481l us
Timer 1: elapsed = 207l us
Timer 1: elapsed = 83l us
Timer 1: elapsed = 80l us
Timer 3: elapsed = 952l us
Timer 1: elapsed = 219l us
Timer 2: elapsed = 634l us
Timer 1: elapsed = 184l us
Timer 1: elapsed = 25l us
Timer 1: elapsed = 81l us
Timer 1: elapsed = 127l us
Timer 2: elapsed = 358l us
Timer 1: elapsed = 226l us
Timer 1: elapsed = 29l us
Timer 1: elapsed = 127l us
Timer 3: elapsed = 1001l us
Timer 1: elapsed = 226l us
Timer 2: elapsed = 604l us
Timer 1: elapsed = 160l us
Timer 1: elapsed = 106l us
Timer 1: elapsed = 140l us
Timer 1: elapsed = 72l us
Timer 2: elapsed = 501l us
Timer 1: elapsed = 134l us
Timer 1: elapsed = 51l us
Timer 1: elapsed = 95l us
Timer 3: elapsed = 998l us
Timer 1: elapsed = 183l us
Timer 2: elapsed = 467l us
Timer 1: elapsed = 104l us
Timer 1: elapsed = 145l us
Timer 1: elapsed = 92l us
Timer 1: elapsed = 80l us
Timer 2: elapsed = 416l us
Timer 1: elapsed = 207l us
Timer 1: elapsed = 101l us
Timer 1: elapsed = 102l us
Timer 3: elapsed = 1001l us
Timer 1: elapsed = 197l us
Timer 2: elapsed = 635l us
Timer 1: elapsed = 227l us
Timer 1: elapsed = 61l us
Timer 1: elapsed = 99l us
Timer 1: elapsed = 105l us
Timer 2: elapsed = 529l us
Timer 1: elapsed = 219l us
Timer 1: elapsed = 99l us
Timer 3: elapsed = 1027l us
Timer 1: elapsed = 169l us
Timer 2: elapsed = 433l us
Timer 1: elapsed = 246l us
Timer 1: elapsed = 60l us
Timer 1: elapsed = 140l us
Timer 1: elapsed = 63l us
Timer 2: elapsed = 526l us
Timer 1: elapsed = 229l us
Timer 1: elapsed = 57l us
Timer 3: elapsed = 980l us
Timer 1: elapsed = 270l us
Timer 2: elapsed = 599l us
Timer 1: elapsed = 288l us
Timer 1: elapsed = 65l us
Timer 1: elapsed = 54l us
Timer 1: elapsed = 29l us
Timer 2: elapsed = 298l us
Timer 1: elapsed = 95l us
Timer 1: elapsed = 128l us
Timer 1: elapsed = 97l us
Timer 3: elapsed = 1003l us
Timer 1: elapsed = 216l us
Timer 2: elapsed = 557l us
Timer 1: elapsed = 65l us
Timer 1: elapsed = 135l us
Timer 1: elapsed = 62l us
Timer 1: elapsed = 139l us
Timer 2: elapsed = 434l us
Timer 1: elapsed = 226l us
Timer 1: elapsed = 29l us
Timer 1: elapsed = 100l us
Timer 3: elapsed = 1061l us
Timer 1: elapsed = 198l us
Timer 2: elapsed = 506l us
Timer 1: elapsed = 127l us
Timer 1: elapsed = 85l us
Timer 1: elapsed = 140l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 527l us
Timer 1: elapsed = 195l us
Timer 1: elapsed = 124l us
Timer 1: elapsed = 63l us
Timer 3: elapsed = 976l us
Timer 1: elapsed = 183l us
Timer 2: elapsed = 500l us
Timer 1: elapsed = 139l us
Timer 1: elapsed = 59l us
Timer 1: elapsed = 111l us
Timer 1: elapsed = 116l us
Timer 2: elapsed = 492l us
Timer 1: elapsed = 181l us
Timer 1: elapsed = 99l us
Timer 1: elapsed = 174l us
Timer 3: elapsed = 946l us
Timer 1: elapsed = 203l us
Timer 2: elapsed = 727l us
Timer 1: elapsed = 220l us
Timer 1: elapsed = 42l us
Timer 1: elapsed = 22l us
Timer 1: elapsed = 38l us
Timer 2: elapsed = 239l us
Timer 1: elapsed = 206l us
Timer 1: elapsed = 94l us
Timer 1: elapsed = 119l us
Timer 3: elapsed = 1021l us
Timer 1: elapsed = 210l us
Timer 2: elapsed = 626l us
Timer 1: elapsed = 193l us
Timer 1: elapsed = 38l us
Timer 1: elapsed = 52l us
Timer 1: elapsed = 100l us
Timer 2: elapsed = 405l us
Timer 1: elapsed = 204l us
Timer 1: elapsed = 96l us
Timer 1: elapsed = 103l us
Timer 3: elapsed = 1022l us
Timer 1: elapsed = 186l us
Timer 2: elapsed = 544l us
Timer 1: elapsed = 90l us
Timer 1: elapsed = 175l us
Timer 1: elapsed = 31l us
Timer 1: elapsed = 107l us
Timer 2: elapsed = 421l us
Timer 1: elapsed = 276l us
Timer 1: elapsed = 13l us
Timer 1: elapsed = 193l us
Timer 3: elapsed = 954l us
Timer 1: elapsed = 108l us
Timer 2: elapsed = 602l us
Timer 1: elapsed = 231l us
Timer 1: elapsed = 136l us
Timer 1: elapsed = 25l us
Timer 1: elapsed = 59l us
Timer 2: elapsed = 426l us
Timer 1: elapsed = 196l us
Timer 1: elapsed = 49l us
Timer 1: elapsed = 162l us
Timer 3: elapsed = 1017l us
Timer 1: elapsed = 206l us
Timer 2: elapsed = 600l us
Timer 1: elapsed = 131l us
Timer 1: elapsed = 75l us
Timer 1: elapsed = 42l us
Timer 1: elapsed = 88l us
Timer 2: elapsed = 405l us
Timer 1: elapsed = 248l us
Timer 1: elapsed = 51l us
Timer 1: elapsed = 101l us
Timer 3: elapsed = 1001l us
Timer 1: elapsed = 214l us
Timer 2: elapsed = 568l us
Timer 1: elapsed = 194l us
Timer 1: elapsed = 114l us
Timer 1: elapsed = 116l us
Timer 1: elapsed = 47l us
Timer 2: elapsed = 405l us
Timer 1: elapsed = 152l us
Timer 1: elapsed = 93l us
Timer 1: elapsed = 81l us
Timer 3: elapsed = 1011l us
Timer 1: elapsed = 247l us
Timer 2: elapsed = 661l us
Timer 1: elapsed = 159l us
Timer 1: elapsed = 27l us
Timer 1: elapsed = 66l us
Timer 1: elapsed = 119l us
Timer 2: elapsed = 376l us
Timer 1: elapsed = 181l us
Timer 1: elapsed = 124l us
Timer 1: elapsed = 99l us
Timer 3: elapsed = 984l us
Timer 1: elapsed = 169l us
Timer 2: elapsed = 551l us
Timer 1: elapsed = 102l us
Timer 1: elapsed = 122l us
Timer 1: elapsed = 99l us
Timer 1: elapsed = 113l us
Timer 2: elapsed = 405l us
Timer 1: elapsed = 227l us
Timer 1: elapsed = 61l us
Timer 1: elapsed = 115l us
Timer 3: elapsed = 1032l us
Timer 1: elapsed = 186l us
Timer 2: elapsed = 572l us
Timer 1: elapsed = 85l us
